"FILTRO 1
Sub Sistema";"FILTRO 2
Linea estrategica";"FILTRO 3
Categoría temática";"FILTRO 4
Área administrativa";"FILTRO 5
Área de estudio";Indicador;Fuente;GRUPO;NOMBRE EN PROYECTO
3. De ordenanamiento territorial y solución de conflictos socioambientales para la reforma agraria;3.1 Gestión de conflictos relacionados con el acceso a los recursos naturales, el uso, la ocupación y tenencia de la tierra …...;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de microfundios por cantidad;https://services2.arcgis.com/RVvWzU3lgJISqdke/arcgis/rest/services/Fragmentacion_en_predios_rurales_privados_a_nivel_departamental/FeatureServer;Fragmentación en predios rurales privados a nivel departamental;Figura 19. Microfundio cantidad departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de microfundios por área;;;Figura 19. Microfundio area departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de minifundios por cantidad;;;Figura 20. Minifundio cantidad departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de minifundios por área;;;Figura 20. Minifundio area departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de pequeña propiedad por cantidad;;;Figura 21. Pequeña cantidad departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de pequeña propiedad por área;;;Figura 21. Pequeña area departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de mediana propiedad por cantidad;;;Figura 22. Mediana cantidad departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de mediana propiedad por área;;;Figura 22. Mediana area departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de latifundio por cantidad;;;Figura 23. Latifundio cantidad departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados;Participación porcentual de latifundio por área;;;Figura 23. Latifundio area departamento
;;Fragmentación predial rural;Departamental;Predios rurales privados dentro de frontera agrícola;Participación porcentual de microfundios por cantidad;https://services2.arcgis.com/RVvWzU3lgJISqdke/arcgis/rest/services/Fragmentacion_en_predios_rurales_privados_dentro_de_frontera_agricola_a_nivel_departamental/FeatureServer;Fragmentación en predios rurales privados dentro de frontera agrícola a nivel departamental;Figura 19. Microfundio cantidad departamento FA
;;Fragmentación predial rural;Departamental;Predios rurales privados dentro de frontera agrícola;Participación porcentual de microfundios por área;;;Figura 19. Microfundio area departamento FA
;;Fragmentación predial rural;Departamental;Predios rurales privados dentro de frontera agrícola;Participación porcentual de minifundios por cantidad;;;Figura 20. Minifundio cantidad departamento FA
;;Fragmentación predial rural;Departamental;Predios rurales privados dentro de frontera agrícola;Participación porcentual de minifundios por área;;;Figura 20. Minifundio area departamento FA
;;Fragmentación predial rural;Departamental;Predios rurales privados dentro de frontera agrícola;Participación porcentual de pequeña propiedad por cantidad;;;Figura 21. Pequeña cantidad departamento FA
